ExamSet,DifficultyCode,Difficulty,QuestionNumber,Domain,Question,CorrectOptionLetter,RemediationReference
1,A,Standard,11,Web-Based GIS,What is the main purpose of a browser web-mapping API or library?,A,GIS&T BoK remediation: [PD-04-016] Web GIS Programming — https://gistbok-topics.ucgis.org/PD-04-016 | Blueprint domain resource: https://geospacebok.eu/WB
1,A,Standard,12,Data Modeling,A rainfall amount varies continuously through space. Which representation is conceptually appropriate?,B,GIS&T BoK remediation: [DM-02-023] Field-Based Representation of Space and Time — https://gistbok-topics.ucgis.org/DM-02-023 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,13,Geospatial Data,A receiver reports very high PDOP. What does that generally indicate?,C,GIS&T BoK remediation: [DC-02-003] Global Navigation Satellite Systems — https://gistbok-topics.ucgis.org/DC-02-003 | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,14,"Platforms, Sensors, Physics & Image Processing",Structure-from-Motion reconstructs 3-D geometry primarily by doing what?,C,GIS&T BoK remediation: [DC-04-038] Structure from Motion Photogrammetry — https://gistbok-topics.ucgis.org/DC-04-038 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,15,Geospatial Data,A transformation has very low residual error at control points but obvious distortion elsewhere. What is the best conclusion?,A,GIS&T BoK remediation: [DC-01-030] Georeferencing and Georectification — https://gistbok-topics.ucgis.org/DC-01-030 | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,16,Data Modeling,Why may a geographic transformation be necessary when converting coordinates between datums?,B,GIS&T BoK remediation: [DM-06-088] Coordinate Transformations — https://gistbok-topics.ucgis.org/DM-06-088 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,17,Cartography & Visualization,Why is linked brushing useful in coordinated map and chart views?,D,GIS&T BoK remediation: [CV-05-035] Geovisualization — https://gistbok-topics.ucgis.org/CV-05-035 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,18,Organizational & Institutional Aspects,What is a professional certification intended to signal?,A,GIS&T BoK remediation: [KE-01-031] Professional Certification — https://gistbok-topics.ucgis.org/KE-01-031 | Blueprint domain resource: https://geospacebok.eu/OI
1,A,Standard,19,Data Modeling,What should high-quality geospatial metadata document?,A,"GIS&T BoK remediation: [DM-07-057] Data Evaluation, Metadata, and Data Quality — https://gistbok-topics.ucgis.org/DM-07-057 | Blueprint domain resource: https://geospacebok.eu/DM"
1,A,Standard,20,Design of Systems,What is parallel programming?,D,GIS&T BoK remediation: [PD-01-014] GIS and Parallel Programming — https://gistbok-topics.ucgis.org/PD-01-014 | Blueprint domain resource: https://geospacebok.eu/DA
1,A,Standard,21,Thematic & Application Domains,Why can 3-D GIS be useful in urban design?,B,GIS&T BoK remediation: [DA-003] GIS&T in Architecture — https://gistbok-topics.ucgis.org/DA-003 | Blueprint domain resource: https://geospacebok.eu/TA
1,A,Standard,22,Conceptual Foundations,A relationship between income and transit use differs substantially from one part of a metropolitan area to another. What concept is central?,A,GIS&T BoK remediation: [FC-04-007] Spaces in Spatial Science — https://gistbok-topics.ucgis.org/FC-04-007 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,23,Analytical Methods & GeoComputation,A kernel-density surface is too fragmented and noisy to reveal regional trends. Which adjustment is most likely to help?,B,GIS&T BoK remediation: [AM-03-008] Kernels and Density Estimation — https://gistbok-topics.ucgis.org/AM-03-008 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,24,Organizational & Institutional Aspects,What is the critical path in project management?,D,GIS&T BoK remediation: [KE-04-012] GIS&T Project Planning and Management — https://gistbok-topics.ucgis.org/KE-04-012 | Blueprint domain resource: https://geospacebok.eu/OI
1,A,Standard,25,Cartography & Visualization,Why should uncertain predictions not be symbolized identically to measured observations without explanation?,A,GIS&T BoK remediation: [CV-04-018] Representing Uncertainty — https://gistbok-topics.ucgis.org/CV-04-018 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,26,Cartography & Visualization,A usability test asks representative users to complete tasks while observers record errors and completion times. What is being evaluated?,A,GIS&T BoK remediation: [CV-05-038] Usability Engineering & Evaluation — https://gistbok-topics.ucgis.org/CV-05-038 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,27,Analytical Methods & GeoComputation,"Why can a TIN represent ridges, stream banks, and other breaklines effectively?",D,GIS&T BoK remediation: [AM-04-072] TIN-based Models and Terrain Metrics — https://gistbok-topics.ucgis.org/AM-04-072 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,28,"Platforms, Sensors, Physics & Image Processing","In sonar, depth is estimated from what?",C,GIS&T BoK remediation: [DC-03-033] Acoustic Imaging of the Oceans — https://gistbok-topics.ucgis.org/DC-03-033 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,29,Conceptual Foundations,A road centerline is stored as an ordered sequence of vertices. Which geometric primitive represents it?,D,GIS&T BoK remediation: [FC-05-022] Geometric Primitives and Algorithms — https://gistbok-topics.ucgis.org/FC-05-022 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,30,Conceptual Foundations,What does semantic interoperability require beyond compatible file formats?,A,GIS&T BoK remediation: [FC-03-032] Semantic Information Elicitation — https://gistbok-topics.ucgis.org/FC-03-032 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,31,Geospatial Data,What is a secondary geospatial data source?,A,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,32,Design of Systems,Why should offline mobile editing use synchronization and conflict-resolution strategies?,A,GIS&T BoK remediation: [PD-04-029] Programming of Mobile GIS Applications — https://gistbok-topics.ucgis.org/PD-04-029 | Blueprint domain resource: https://geospacebok.eu/DA
1,A,Standard,33,Organizational & Institutional Aspects,Why are service-level agreements useful for enterprise GIS?,D,GIS&T BoK remediation: [KE-04-019] Managing GIS&T Operations and Infrastructure — https://gistbok-topics.ucgis.org/KE-04-019 | Blueprint domain resource: https://geospacebok.eu/OI
1,A,Standard,34,Conceptual Foundations,What is epistemology concerned with?,D,GIS&T BoK remediation: [FC-02-002] Epistemology — https://gistbok-topics.ucgis.org/FC-02-002 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,35,Analytical Methods & GeoComputation,A planning analyst must find vacant parcels within 400 meters of transit stops. What is the most direct workflow?,B,GIS&T BoK remediation: [AM-02-003] Buffers — https://gistbok-topics.ucgis.org/AM-02-003 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,36,Thematic & Application Domains,A farmer wants to vary fertilizer application within a field based on soil and crop conditions. Which GIS-enabled approach is most appropriate?,C,GIS&T BoK remediation: [DA-001] GIS&T and Agriculture — https://gistbok-topics.ucgis.org/DA-001 | Blueprint domain resource: https://geospacebok.eu/TA
1,A,Standard,37,Design of Systems,What is real-time GIS programming especially concerned with?,D,GIS&T BoK remediation: [PD-01-020] Real-time GIS Programming and Geocomputation — https://gistbok-topics.ucgis.org/PD-01-020 | Blueprint domain resource: https://geospacebok.eu/DA
1,A,Standard,38,Analytical Methods & GeoComputation,Why should spatial cross-validation be considered for geographic prediction models?,D,GIS&T BoK remediation: [AM-08-094] Machine Learning Approaches — https://gistbok-topics.ucgis.org/AM-08-094 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,39,"Platforms, Sensors, Physics & Image Processing",Thermal infrared sensors primarily measure what?,A,GIS&T BoK remediation: [DC-03-034] Multispectral and Thermal Imagery: RGB and LWIR Sensors — https://gistbok-topics.ucgis.org/DC-03-034 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,40,Design of Systems,Why can raster map algebra benefit from GPU processing?,A,GIS&T BoK remediation: [CP-01-006] Graphics Processing Units (GPUs) — https://gistbok-topics.ucgis.org/CP-01-006 | Blueprint domain resource: https://geospacebok.eu/DA
1,A,Standard,41,Analytical Methods & GeoComputation,"A city wants to identify schools within 1,000 meters of hazardous-material facilities. Which GIS workflow is most appropriate?",C,GIS&T BoK remediation: [AM-02-003] Buffers — https://gistbok-topics.ucgis.org/AM-02-003 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,42,Conceptual Foundations,What distinguishes a ratio-scale variable from an interval-scale variable?,A,GIS&T BoK remediation: [FC-04-010] GIS Data Properties — https://gistbok-topics.ucgis.org/FC-04-010 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,43,Cartography & Visualization,What is visual hierarchy?,D,GIS&T BoK remediation: [CV-03-007] Visual Hierarchy and Layout — https://gistbok-topics.ucgis.org/CV-03-007 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,44,Geospatial Data,A GNSS receiver needs signals from at least four satellites primarily to solve for what?,B,GIS&T BoK remediation: [DC-02-003] Global Navigation Satellite Systems — https://gistbok-topics.ucgis.org/DC-02-003 | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,45,Data Modeling,"When simplifying a line for smaller-scale display, what trade-off is being made?",B,"GIS&T BoK remediation: [DM-06-085] Point, Line, and Area Generalization — https://gistbok-topics.ucgis.org/DM-06-085 | Blueprint domain resource: https://geospacebok.eu/DM"
1,A,Standard,46,Geospatial Data,What is multipath error in GNSS?,B,GIS&T BoK remediation: [DC-02-003] Global Navigation Satellite Systems — https://gistbok-topics.ucgis.org/DC-02-003 | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,47,"Platforms, Sensors, Physics & Image Processing",A sun-synchronous orbit is useful because imagery is commonly acquired at what?,A,GIS&T BoK remediation: [DC-03-026] Remote Sensing Platforms — https://gistbok-topics.ucgis.org/DC-03-026 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,48,Analytical Methods & GeoComputation,A black-box flood-susceptibility model must be explained to planners. Which output would most improve interpretability?,B,GIS&T BoK remediation: [AM-08-108] Explainable AI Applications in GIS — https://gistbok-topics.ucgis.org/AM-08-108 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,49,"Platforms, Sensors, Physics & Image Processing",What is radiometric calibration?,B,GIS&T BoK remediation: GIS&T BoK | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,50,Conceptual Foundations,What is a key distinction between nominal and ordinal attributes?,C,GIS&T BoK remediation: [FC-04-010] GIS Data Properties — https://gistbok-topics.ucgis.org/FC-04-010 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,51,Thematic & Application Domains,A transit planner compares access to jobs by transit versus car. What should an accessibility measure incorporate?,A,GIS&T BoK remediation: [AM-05-044] Modelling Accessibility — https://gistbok-topics.ucgis.org/AM-05-044 | Blueprint domain resource: https://geospacebok.eu/TA
1,A,Standard,52,Data Modeling,Why can raster-to-vector conversion create many small polygons in a noisy categorical raster?,D,GIS&T BoK remediation: [DM-06-086] Vector-to-Raster and Raster-to-Vector Conversions — https://gistbok-topics.ucgis.org/DM-06-086 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,53,Conceptual Foundations,Measurements are widely scattered around the true position but average near the truth. Which characterization fits best?,D,GIS&T BoK remediation: [FC-07-024] Conceptual Models of Error and Uncertainty — https://gistbok-topics.ucgis.org/FC-07-024 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,54,Design of Systems,Why is Python widely used in GIS?,C,GIS&T BoK remediation: [PD-05-011] Python for GIS — https://gistbok-topics.ucgis.org/PD-05-011 | Blueprint domain resource: https://geospacebok.eu/DA
1,A,Standard,55,"Platforms, Sensors, Physics & Image Processing",Why does airborne bathymetric LiDAR commonly use green wavelengths?,A,GIS&T BoK remediation: [DC-03-040] Airborne LiDAR Bathymetry — https://gistbok-topics.ucgis.org/DC-03-040 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,56,Data Modeling,Why is linear referencing useful for transportation assets?,B,GIS&T BoK remediation: [DM-05-016] Linear Referencing — https://gistbok-topics.ucgis.org/DM-05-016 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,57,Organizational & Institutional Aspects,Why should enterprise GIS have backup and disaster-recovery plans?,C,GIS&T BoK remediation: [KE-04-019] Managing GIS&T Operations and Infrastructure — https://gistbok-topics.ucgis.org/KE-04-019 | Blueprint domain resource: https://geospacebok.eu/OI
1,A,Standard,58,Cartography & Visualization,Why should legends include only symbols that need explanation?,B,GIS&T BoK remediation: [CV-03-007] Visual Hierarchy and Layout — https://gistbok-topics.ucgis.org/CV-03-007 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,59,Data Modeling,"A utility must model pipes, valves, and connectivity. Which data model is most appropriate?",A,GIS&T BoK remediation: [DM-02-015] Spatial Network Modeling — https://gistbok-topics.ucgis.org/DM-02-015 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,60,GI & Society,Citizen-science observations are concentrated near roads and cities. What analytical caution is needed?,C,GIS&T BoK remediation: [GS-02-024] Citizen Science with GIS&T — https://gistbok-topics.ucgis.org/GS-02-024 | Blueprint domain resource: https://geospacebok.eu/GS
1,A,Standard,61,Conceptual Foundations,What does spatial resolution describe?,B,GIS&T BoK remediation: [FC-05-021] Resolution — https://gistbok-topics.ucgis.org/FC-05-021 | Blueprint domain resource: https://geospacebok.eu/CF
1,A,Standard,62,"Platforms, Sensors, Physics & Image Processing","In object-based image analysis, what happens during segmentation?",B,GIS&T BoK remediation: [DC-04-014] Feature Extraction from Satellite Imagery — https://gistbok-topics.ucgis.org/DC-04-014 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,63,Cartography & Visualization,Why should a map reader examine source and date information?,D,GIS&T BoK remediation: [CV-06-022] Map Interpretation — https://gistbok-topics.ucgis.org/CV-06-022 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,64,"Platforms, Sensors, Physics & Image Processing",What does spectral resolution describe?,C,GIS&T BoK remediation: [DC-03-016] Nature of Multispectral Image Data — https://gistbok-topics.ucgis.org/DC-03-016 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,A,Standard,65,Analytical Methods & GeoComputation,"An analyst repeats a correlation using census blocks, block groups, and tracts and obtains different coefficients. What issue is illustrated?",A,GIS&T BoK remediation: [AM-03-011] Spatial Statistics — https://gistbok-topics.ucgis.org/AM-03-011 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,66,Geospatial Data,What does lineage in metadata document?,A,"GIS&T BoK remediation: [DM-07-057] Data Evaluation, Metadata, and Data Quality — https://gistbok-topics.ucgis.org/DM-07-057 | Blueprint domain resource: https://geospacebok.eu/GD"
1,A,Standard,67,Cartography & Visualization,What is a purpose of white or negative space in a map layout?,B,GIS&T BoK remediation: [CV-03-007] Visual Hierarchy and Layout — https://gistbok-topics.ucgis.org/CV-03-007 | Blueprint domain resource: https://geospacebok.eu/CV
1,A,Standard,68,Geospatial Data,A field sampling design gives every location an equal known chance of selection. What type of design is this?,A,GIS&T BoK remediation: [AM-03-026] Spatial Sampling for Spatial Analysis — https://gistbok-topics.ucgis.org/AM-03-026 | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,69,Analytical Methods & GeoComputation,"In a semivariogram, the model reaches a plateau beyond a certain separation distance. What is that plateau called?",A,GIS&T BoK remediation: [AM-04-029] Kriging Interpolation — https://gistbok-topics.ucgis.org/AM-04-029 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,70,Organizational & Institutional Aspects,Why should a GIS program maintain documented standard operating procedures?,C,GIS&T BoK remediation: [KE-04-019] Managing GIS&T Operations and Infrastructure — https://gistbok-topics.ucgis.org/KE-04-019 | Blueprint domain resource: https://geospacebok.eu/OI
1,A,Standard,71,GI & Society,A city inspection algorithm is trained on historical enforcement data that overrepresent some neighborhoods. What risk should be assessed?,C,GIS&T BoK remediation: [GS-01-027] GIS&T for Equity and Social Justice — https://gistbok-topics.ucgis.org/GS-01-027 | Blueprint domain resource: https://geospacebok.eu/GS
1,A,Standard,72,Analytical Methods & GeoComputation,A coastal setback requires new buildings to be at least 75 m from the shoreline. Which GIS result directly supports compliance screening?,A,GIS&T BoK remediation: [AM-02-003] Buffers — https://gistbok-topics.ucgis.org/AM-02-003 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,A,Standard,73,Data Modeling,What is the essential difference between an attribute query and a spatial query?,B,GIS&T BoK remediation: [DM-03-075] Defining and Designing Spatial Queries — https://gistbok-topics.ucgis.org/DM-03-075 | Blueprint domain resource: https://geospacebok.eu/DM
1,A,Standard,74,Geospatial Data,"When comparing census data over multiple decades, what major issue may require crosswalks or interpolation?",D,GIS&T BoK remediation: [DC-06-028] United States Census Data — https://gistbok-topics.ucgis.org/DC-06-028 | Blueprint domain resource: https://geospacebok.eu/GD
1,A,Standard,75,Analytical Methods & GeoComputation,The transition from urban to suburban is vague rather than sharply bounded. Which representation can capture partial membership?,D,GIS&T BoK remediation: [AM-09-088] Fuzzy Aggregation Operators — https://gistbok-topics.ucgis.org/AM-09-088 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,B,More Challenging,1,Data Modeling,A student analyst has valid input data and must choose the next appropriate GIS step. Why are geospatial content standards useful?,C,GIS&T BoK remediation: [DM-07-058] Geospatial Content Standards — https://gistbok-topics.ucgis.org/DM-07-058 | Blueprint domain resource: https://geospacebok.eu/DM
1,B,More Challenging,2,Analytical Methods & GeoComputation,A project team wants a defensible software-agnostic GIS approach. A contour line connects locations of what?,D,"GIS&T BoK remediation: [AM-04-067] Gridding, Interpolation, and Contouring — https://gistbok-topics.ucgis.org/AM-04-067 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC"
1,B,More Challenging,3,Analytical Methods & GeoComputation,"During QA/QC, an analyst must decide which GIS concept or method applies. A watershed boundary should be used to trim a soil polygon layer to only the watershed area. Which tool is most appropriate?",B,GIS&T BoK remediation: [AM-02-004] Overlay — https://gistbok-topics.ucgis.org/AM-02-004 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,B,More Challenging,4,Analytical Methods & GeoComputation,A planning or environmental GIS project encounters the following situation. Two conservation-zone polygon layers must be combined so all areas from either layer are retained. Which overlay is best?,B,GIS&T BoK remediation: [AM-02-004] Overlay — https://gistbok-topics.ucgis.org/AM-02-004 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,B,More Challenging,5,Conceptual Foundations,A GIS analyst is completing a routine professional workflow. What does distance decay describe?,D,GIS&T BoK remediation: [FC-05-017] Proximity and Distance Decay — https://gistbok-topics.ucgis.org/FC-05-017 | Blueprint domain resource: https://geospacebok.eu/CF
1,B,More Challenging,6,Conceptual Foundations,A county GIS office is reviewing an analysis before publication. Population relationships change when data are aggregated into different zoning schemes. Which issue is this?,C,GIS&T BoK remediation: [FC-07-026] Problems of Scale and Zoning — https://gistbok-topics.ucgis.org/FC-07-026 | Blueprint domain resource: https://geospacebok.eu/CF
1,B,More Challenging,7,Conceptual Foundations,"A student analyst has valid input data and must choose the next appropriate GIS step. In set theory, what does A ∪ B represent?",D,GIS&T BoK remediation: [FC-06-011] Set Theory — https://gistbok-topics.ucgis.org/FC-06-011 | Blueprint domain resource: https://geospacebok.eu/CF
1,B,More Challenging,8,Design of Systems,A project team wants a defensible software-agnostic GIS approach. Which description correctly characterizes GDAL/OGR commonly used for?,B,GIS&T BoK remediation: [PD-05-033] GDAL/OGR and Geospatial Data IO Libraries — https://gistbok-topics.ucgis.org/PD-05-033 | Blueprint domain resource: https://geospacebok.eu/DA
1,B,More Challenging,9,Cartography & Visualization,"During QA/QC, an analyst must decide which GIS concept or method applies. For nominal categories, which visual variable is generally effective?",D,GIS&T BoK remediation: [CV-03-008] Symbolization and the Visual Variables — https://gistbok-topics.ucgis.org/CV-03-008 | Blueprint domain resource: https://geospacebok.eu/CV
1,B,More Challenging,10,Thematic & Application Domains,A planning or environmental GIS project encounters the following situation. A campus team wants to assess walkability between buildings using actual paths and barriers. Which analysis is appropriate?,A,GIS&T BoK remediation: [DA-003] GIS&T in Architecture — https://gistbok-topics.ucgis.org/DA-003 | Blueprint domain resource: https://geospacebok.eu/TA
1,B,More Challenging,11,Web-Based GIS,A GIS analyst is completing a routine professional workflow. Which description correctly characterizes the main purpose of a browser web-mapping API or library?,B,GIS&T BoK remediation: [PD-04-016] Web GIS Programming — https://gistbok-topics.ucgis.org/PD-04-016 | Blueprint domain resource: https://geospacebok.eu/WB
1,B,More Challenging,12,Data Modeling,A county GIS office is reviewing an analysis before publication. A rainfall amount varies continuously through space. Which representation is conceptually appropriate?,B,GIS&T BoK remediation: [DM-02-023] Field-Based Representation of Space and Time — https://gistbok-topics.ucgis.org/DM-02-023 | Blueprint domain resource: https://geospacebok.eu/DM
1,B,More Challenging,13,Geospatial Data,A student analyst has valid input data and must choose the next appropriate GIS step. A receiver reports very high PDOP. What does that generally indicate?,A,GIS&T BoK remediation: [DC-02-003] Global Navigation Satellite Systems — https://gistbok-topics.ucgis.org/DC-02-003 | Blueprint domain resource: https://geospacebok.eu/GD
1,B,More Challenging,14,"Platforms, Sensors, Physics & Image Processing",A project team wants a defensible software-agnostic GIS approach. Structure-from-Motion reconstructs 3-D geometry primarily by doing what?,D,GIS&T BoK remediation: [DC-04-038] Structure from Motion Photogrammetry — https://gistbok-topics.ucgis.org/DC-04-038 | Blueprint domain resource: https://geospacebok.eu/PS | https://geospacebok.eu/PP | https://geospacebok.eu/IP
1,B,More Challenging,15,Geospatial Data,"During QA/QC, an analyst must decide which GIS concept or method applies. A transformation has very low residual error at control points but obvious distortion elsewhere. What is the best conclusion?",B,GIS&T BoK remediation: [DC-01-030] Georeferencing and Georectification — https://gistbok-topics.ucgis.org/DC-01-030 | Blueprint domain resource: https://geospacebok.eu/GD
1,B,More Challenging,16,Data Modeling,A planning or environmental GIS project encounters the following situation. Why may a geographic transformation be necessary when converting coordinates between datums?,D,GIS&T BoK remediation: [DM-06-088] Coordinate Transformations — https://gistbok-topics.ucgis.org/DM-06-088 | Blueprint domain resource: https://geospacebok.eu/DM
1,B,More Challenging,17,Cartography & Visualization,A GIS analyst is completing a routine professional workflow. Why is linked brushing useful in coordinated map and chart views?,D,GIS&T BoK remediation: [CV-05-035] Geovisualization — https://gistbok-topics.ucgis.org/CV-05-035 | Blueprint domain resource: https://geospacebok.eu/CV
1,B,More Challenging,18,Organizational & Institutional Aspects,A county GIS office is reviewing an analysis before publication. Which description correctly characterizes a professional certification intended to signal?,C,GIS&T BoK remediation: [KE-01-031] Professional Certification — https://gistbok-topics.ucgis.org/KE-01-031 | Blueprint domain resource: https://geospacebok.eu/OI
1,B,More Challenging,19,Data Modeling,A student analyst has valid input data and must choose the next appropriate GIS step. What should high-quality geospatial metadata document?,B,"GIS&T BoK remediation: [DM-07-057] Data Evaluation, Metadata, and Data Quality — https://gistbok-topics.ucgis.org/DM-07-057 | Blueprint domain resource: https://geospacebok.eu/DM"
1,B,More Challenging,20,Design of Systems,A project team wants a defensible software-agnostic GIS approach. Which description correctly characterizes parallel programming?,B,GIS&T BoK remediation: [PD-01-014] GIS and Parallel Programming — https://gistbok-topics.ucgis.org/PD-01-014 | Blueprint domain resource: https://geospacebok.eu/DA
1,B,More Challenging,21,Thematic & Application Domains,"During QA/QC, an analyst must decide which GIS concept or method applies. Why can 3-D GIS be useful in urban design?",A,GIS&T BoK remediation: [DA-003] GIS&T in Architecture — https://gistbok-topics.ucgis.org/DA-003 | Blueprint domain resource: https://geospacebok.eu/TA
1,B,More Challenging,22,Conceptual Foundations,A planning or environmental GIS project encounters the following situation. A relationship between income and transit use differs substantially from one part of a metropolitan area to another. What concept is central?,A,GIS&T BoK remediation: [FC-04-007] Spaces in Spatial Science — https://gistbok-topics.ucgis.org/FC-04-007 | Blueprint domain resource: https://geospacebok.eu/CF
1,B,More Challenging,23,Analytical Methods & GeoComputation,A GIS analyst is completing a routine professional workflow. A kernel-density surface is too fragmented and noisy to reveal regional trends. Which adjustment is most likely to help?,B,GIS&T BoK remediation: [AM-03-008] Kernels and Density Estimation — https://gistbok-topics.ucgis.org/AM-03-008 | Blueprint domain resource: https://geospacebok.eu/AM | https://geospacebok.eu/GC
1,B,More Challenging,24,Organizational & Institutional Aspects,A county GIS office is reviewing an analysis before publication. Which description correctly characterizes the critical path in project management?,D,GIS&T BoK remediation: [KE-04-012] GIS&T Project Planning and Management — https://gistbok-topics.ucgis.org/KE-04-012 | Blueprint domain resource: https://geospacebok.eu/OI
